Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S HAWTHORNE,E 3RD ST,,,,39.16425,-86.52008,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LN MOVEMENT,SAME DIRECTION SIDESWIPE,HAWTHORNELN3RDST,TRAFFIC CONTROL SIGNAL,2019-01-03 14:13:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,ST RD 45,ST RD 45/46,,500.0,E,39.14359,-86.58031,ST RD,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,ST RD 45ST RD 46,NONE,2019-01-04 17:15:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S CURRY,ST RD 45,,,,39.14195,-86.58259,LOCAL/CITY RD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SCURRYPKWSTATERD45RD,TRAFFIC CONTROL SIGNAL,2019-01-04 16:55:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,W 2ND,S ROGERS ST,,,,39.16138,-86.53869,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,E 2NDSTSROGERSST,TRAFFIC CONTROL SIGNAL,2019-01-04 19:00:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S CURRY,W VERNAL PK,,,,39.17915,-86.58308,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SCURRYPKWVERNALPK,TRAFFIC CONTROL SIGNAL,2019-01-04 15:22:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0.0,0.0,,,,W 17TH,N KINSER PK,,,,39.17904,-86.53774,LOCAL/CITY RD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,NKINSERPKW17THST,TRAFFIC CONTROL SIGNAL,2019-01-04 19:26:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,N WALNUT,W ST RD 37,,,,39.18637,-86.53453,ST RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,INTERCHANGE,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NWALNUTSTN ST RD 37,NONE,2019-01-04 18:00:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,1870.0,,,S WALNUT,E N DR,,500.0,N,38.88043,-86.0454,LOCAL/CITY RD,N,URBAN,N,N,N,,DAWN/DUSK,RAIN,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,1870SOUTHWALNUTSTEASTNORTHST,NONE,2019-01-04 17:13:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,W BLOOMFIELD,W ALLEN ST,,,,39.15611,-86.56144,,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,WALLENSTWBLOOMFIELDRD,LN CONTROL,2019-01-04 13:20:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N WALNUT,W 6TH ST,,,,39.16755,-86.5336,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SIXTHSTWALNUTST,TRAFFIC CONTROL SIGNAL,2019-01-04 00:20:00,,,
ISP BLOOMINGTON 33,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S CURRY,W GIFFORD,,250.0,N,39.15667,-86.58264,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,CURRYPKGIFFORDRD,LN CONTROL,2019-01-04 08:55:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S SMITH,E MOORES PK,,400.0,S,39.15022,-86.48046,LOCAL/CITY RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,EMOORESPKSSMITHRD,LN CONTROL,2019-01-04 21:58:00,,,
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,3.0,0.0,0.0,,,,ST RD 46,N LOVE LN,,330.0,W,39.22005,-86.60372,ST RD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,RIGHT ANGLE,LOVELNST RD 46 W,NONE,2019-01-04 20:27:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,ST RD 45,I-69 S,Y,,,39.1821244241796,-86.55692907894922,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,SBI-69ENTRANCERAMPWBLOOMFIELDRD,TRAFFIC CONTROL SIGNAL,2019-01-05 19:06:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0.0,0.0,,,,ST RD 45,N SMITH RD,,100.0,W,39.17267,-86.48266,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,HEAD ON BETWEEN TWO MOTOR VEHICLES,E 10THSTSMITHRD,NONE,2019-01-05 06:56:00,,,
BLOOMINGTON PD,BLOOMINGTON,3,0.0,1.0,0.0,0.0,,,,ST RD 45,N SMITH RD,,100.0,W,39.17265919353067,-86.48267243782398,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,OTHER - EXPLAIN IN NARRATIVE,E 10THSTSMITHRD,NONE,2019-01-05 06:57:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S PARK RIDGE,ST RD 46,,50.0,S,39.16422,-86.47629,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E 3RDSTSPARKRIDGERD,NONE,2019-01-05 16:04:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,7.0,0.0,0.0,,,,W 3RD,S CORY LN,,,,39.16448,-86.56014,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SCORYLNW 3RDST,TRAFFIC CONTROL SIGNAL,2019-01-05 18:10:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,W ALLEN,W BLOOMFIELD RD,,,,39.15611,-86.56144,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,WALLENSTWBLOOMFIELDRD,STOP SIGN,2019-01-05 18:48:00,,,
ISP BLOOMINGTON 33,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,ST RD 37,E MONROE DAM RD,,100.0,S,39.02002,-86.53633,ST RD,N,RURAL,N,Y,N,,DAWN/DUSK,CLEAR,ICE,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,MONROEDAMRDST RD 37,LN CONTROL,2019-01-05 07:05:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E ATWATER,N EAGLESON AVE,,,,39.1631,-86.5164,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,ATWATERAVEEAGLESON AVEAVE,TRAFFIC CONTROL SIGNAL,2019-01-05 21:25:00,,,
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0.0,0.0,,,,I-69 S,,,3000.0,N,-1.0858744442800017e-05,-4.100840586462288e-05,INTERSTATE,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,IMPROPER LN USAGE,REAR END,COLLEGEAVEI-69S,LN CONTROL,2019-01-05 21:40:00,,,
MONROE SD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,S ST RD 37,S DELLSVILLE RD,,,,39.06684,-86.5415,ST RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,T-INTERSECTION,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF RD,SOUTHDELLSVILLERDS ST RD 37,NONE,2019-01-05 05:04:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S ST RD 37,S DELLSVILLE RD,,,,39.06683254624885,-86.5415109542767,ST RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,T-INTERSECTION,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF RD,SOUTHDELLSVILLERDS ST RD 37,NONE,2019-01-05 05:43:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,ST RD 37,I-69 N,,100.0,S,39.18332,-86.55619,ST RD,Y,,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,CURVE/GRADE,ASPHALT,IMPROPER LN USAGE,OTHER - EXPLAIN IN NARRATIVE,I-69 NN ST RD 37,NONE,2019-01-05 11:37:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,1.0,,,,ST RD 45,S GARRISON CHAPEL RD,,100.0,E,39.11107,-86.63819,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,GARRISONCHAPPELRDST RD 45 W,NONE,2019-01-05 15:31:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,ST RD 45,,,756.0,E,-1.0499926220098329e-05,-7.805353310336185e-06,ST RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RDWAY SURFACE CONDITION,RAN OFF RD,SPARKSLNST RD 45 W,LN CONTROL,2019-01-05 04:28:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,ST RD 46,S LORI LN,,250.0,W,39.16637,-86.46612,ST RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,LORILNST RD 46E,NONE,2019-01-05 07:37:00,,,
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0.0,0.0,,,,ST RD 46,W MAPLE GROVE RD,,400.0,E,39.2451,-86.6352,ST RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,REDHIILRDST RD 46 W,LN CONTROL,2019-01-05 11:50:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S ROGERS,W 3RD ST,,,,39.16463,-86.53869,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SOUTHROGERSSTWEST3RDST,TRAFFIC CONTROL SIGNAL,2019-01-06 13:02:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,ST RD 46,ST RD 46,,,,39.186289505548395,-86.53166519693566,ST RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF RD,E 3RDSTST RD 46N,TRAFFIC CONTROL SIGNAL,2019-01-07 15:50:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N COLLEGE,W KIRKWOOD AVE,,30.0,N,39.16659621505362,-86.53489508151182,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,WRONG WAY ON ONE WAY,RIGHT ANGLE,NCOLLEGEAVEWKIRKWOODAVE,NONE,2019-01-07 16:35:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E 3RD,S HILLSDALE DR,,300.0,E,39.16427,-86.50265,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,E 3RDSTSHILLSDALEDR,NONE,2019-01-07 15:09:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E KIRKWOOD,S WASHINGTON ST,,,,39.16656,-86.53235,LOCAL/CITY RD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,EKIRKWOODAVESWASHINGTONST,STOP SIGN,2019-01-07 16:46:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,2.0,0.0,0.0,,,,I-69 S,,,300.0,S,41.23828645266745,-85.09284067650012,INTERSTATE,N,URBAN,N,N,Y,WORK ON SHOULDER,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF RD,I-69S120,NONE,2019-01-07 03:35:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,S CURRY,W ROLL AVE,,,,39.1472,-86.58259,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,RAN OFF RD,SCURRYPKWROLLAVE,STOP SIGN,2019-01-07 15:27:00,,,
ISP BLOOMINGTON 33,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,ST RD 46,E TRAILWAY DR,,1000.0,E,39.16481,-86.42899,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,REAR END,ST RD 46TRAILWAYDR,LN CONTROL,2019-01-07 12:05:00,,,
ISP BLOOMINGTON 33,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,ST RD 46,,,450.0,W,-3.4839576138939294e-05,-9.295000205954738e-06,ST RD,Y,RURAL,N,N,N,,DAWN/DUSK,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,I-69ST RD 46,LN CONTROL,2019-01-07 18:20:00,,,
MONROE SD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,4111.0,,,W VERNAL,,,,,39.17752573035956,-86.58030448066869,UNKNOWN,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,SAME DIRECTION SIDESWIPE,WESTVERNALPK,NONE,2019-01-07 23:11:00,,,True
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,ST RD 46 ,E 3RD ST,,,,39.16429111017555,-86.47211313950191,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,3RDSTST RD 46RD,TRAFFIC CONTROL SIGNAL,2019-01-08 07:29:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,ST RD 48,S CURRY PK,,,,39.16463,-86.58295,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NORTHCURRYPKWEST3RDST,TRAFFIC CONTROL SIGNAL,2019-01-08 06:33:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,ST RD 48,S GATES DR,,,,39.16458,-86.57619,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,3RDSTGATESDR,TRAFFIC CONTROL SIGNAL,2019-01-08 11:10:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,4531.0,,,ST RD 46,ST RD 446,,,,39.16433,-86.47207,UNKNOWN,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,RAN OFF RD,E 3RDST,TRAFFIC CONTROL SIGNAL,2019-01-08 21:13:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S WALNUT,E MILLER DR,,1300.0,S,39.14689,-86.53265,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EASTMILLERRDSOUTHWALNUTST,LN CONTROL,2019-01-08 16:14:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,1315.0,,,E 10TH,,,,,39.17156492464137,-86.51827663491495,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,E 10THST,NONE,2019-01-08 12:30:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,1.0,,,,N HARTSTRAIT,W WOODYARD,,,,39.20858,-86.61137,COUNTY RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,HARTSTRAITRDWOODYARDRD,STOP SIGN,2019-01-08 00:16:00,,,
